V_gen,V_med1,V_med2
2.499,549.0,550.0
2.501,550.0,552.0
2.504,554.0,555.0
2.506,551.0,553.0
2.509,554.0,555.0
2.511,555.0,555.0
2.513,553.0,548.0
2.516,548.0,550.0
2.518,552.0,550.0
2.521,547.0,548.0
2.523,546.0,544.0
2.526,548.0,547.0
2.528,548.0,546.0
2.531,547.0,550.0
2.533,550.0,546.0
2.535,552.0,549.0
2.538,554.0,548.0
2.54,548.0,555.0
2.543,552.0,552.0
2.545,557.0,558.0
2.548,560.0,561.0
2.55,563.0,562.0
2.553,567.0,560.0
2.555,566.0,565.0
2.557,568.0,567.0
2.56,567.0,567.0
2.562,563.0,562.0
2.565,562.0,568.0
2.567,565.0,564.0
2.57,563.0,562.0
2.572,560.0,558.0
2.574,558.0,561.0
2.577,560.0,556.0
2.579,559.0,554.0
2.582,561.0,556.0
2.584,564.0,557.0
2.587,560.0,560.0
2.589,564.0,563.0
2.592,561.0,565.0
2.594,569.0,565.0
2.596,568.0,571.0
2.599,571.0,577.0
2.601,574.0,573.0
2.604,575.0,578.0
2.606,576.0,580.0
2.609,580.0,577.0
2.611,572.0,575.0
2.614,573.0,570.0
2.616,571.0,570.0
2.618,567.0,579.0
2.621,567.0,566.0
2.623,570.0,569.0
2.626,566.0,568.0
2.628,571.0,568.0
2.631,567.0,572.0
2.633,576.0,569.0
2.636,576.0,572.0
2.638,575.0,579.0
2.64,580.0,582.0
2.643,588.0,583.0
2.645,587.0,588.0
2.648,582.0,588.0
2.65,587.0,584.0
2.653,588.0,585.0
2.655,581.0,580.0
2.658,578.0,581.0
2.66,584.0,576.0
2.662,580.0,577.0
2.665,578.0,578.0
2.667,581.0,575.0
2.67,579.0,576.0
2.672,578.0,581.0
2.675,580.0,578.0
2.677,584.0,587.0
2.68,580.0,586.0
2.682,584.0,590.0
2.684,595.0,591.0
2.687,593.0,598.0
2.689,596.0,599.0
2.692,597.0,597.0
2.694,595.0,594.0
2.697,595.0,592.0
2.699,588.0,587.0
2.702,588.0,590.0
2.704,590.0,593.0
2.706,589.0,589.0
2.709,589.0,584.0
2.711,585.0,584.0
2.714,588.0,596.0
2.716,590.0,586.0
2.719,588.0,591.0
2.721,594.0,591.0
2.723,593.0,596.0
2.726,596.0,601.0
2.728,606.0,604.0
2.731,606.0,606.0
2.733,608.0,608.0
2.736,606.0,605.0
2.738,607.0,599.0
2.741,603.0,601.0
2.743,600.0,598.0
2.745,600.0,598.0
2.748,600.0,597.0
2.75,600.0,600.0
2.753,596.0,598.0
2.755,594.0,596.0
2.758,595.0,596.0
2.76,597.0,599.0
2.763,600.0,601.0
2.765,600.0,603.0
2.767,602.0,607.0
2.77,613.0,606.0
2.772,611.0,615.0
2.775,614.0,615.0
2.777,617.0,617.0
2.78,615.0,613.0
2.782,610.0,611.0
2.785,611.0,611.0
2.787,608.0,605.0
2.789,607.0,609.0
2.792,609.0,607.0
2.794,607.0,606.0
2.797,603.0,604.0
2.799,605.0,604.0
2.802,607.0,604.0
2.804,607.0,607.0
2.807,608.0,610.0
2.809,613.0,613.0
2.811,616.0,613.0
2.814,614.0,617.0
2.816,619.0,619.0
2.819,623.0,624.0
2.821,629.0,620.0
2.824,628.0,621.0
2.826,620.0,625.0
